25-05-2022:18:04:19 INFO     [main.py:476] !!!In: C:\Files\AUT_MasterOfAnalytics_MinnieIsStudent\202102_202201_STAT995 Research Project_done_4_course_reqt\my_practise_v2\input, Out: C:\Files\AUT_MasterOfAnalytics_MinnieIsStudent\202102_202201_STAT995 Research Project_done_4_course_reqt\my_practise_v2\output
25-05-2022:18:04:19 DEBUG    [model.py:428] dict: {'test_size': 0.2, 'random_state': 0, 'scaler': {'method': 'StandardScaler', 'params': {}}}
25-05-2022:18:04:20 DEBUG    [model.py:428] dict: {'test_size': 0.2, 'random_state': 0, 'scaler': {'method': 'StandardScaler', 'params': {}}}
25-05-2022:18:04:20 DEBUG    [model.py:428] dict: {'optimizer': 'adam', 'loss': 'binary_crossentropy', 'metrics': ['accuracy'], 'add1': {'method': 'Dense', 'params': {'units': 6, 'activation': 'relu'}}, 'add2': {'method': 'Dense', 'params': {'units': 6, 'activation': 'relu'}}, 'add3': {'method': 'Dense', 'params': {'units': 1, 'activation': 'sigmoid'}}, 'fit': {'method': 'fit', 'params': {'batch_size': 32, 'epochs': 50}}}
25-05-2022:18:04:20 DEBUG    [pyplot.py:301] Loaded backend tkagg version unknown.
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'IHDR' 16 13
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'sBIT' 41 4
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:725] b'sBIT' 41 4 (unknown)
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'pHYs' 57 9
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'IDAT' 78 374
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'IHDR' 16 13
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'sBIT' 41 4
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:725] b'sBIT' 41 4 (unknown)
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'pHYs' 57 9
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'IDAT' 78 286
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'IHDR' 16 13
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'sBIT' 41 4
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:725] b'sBIT' 41 4 (unknown)
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'pHYs' 57 9
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'IDAT' 78 263
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'IHDR' 16 13
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'sBIT' 41 4
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:725] b'sBIT' 41 4 (unknown)
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'pHYs' 57 9
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'IDAT' 78 387
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'IHDR' 16 13
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'sBIT' 41 4
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:725] b'sBIT' 41 4 (unknown)
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'pHYs' 57 9
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'IDAT' 78 436
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'IHDR' 16 13
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'sBIT' 41 4
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:725] b'sBIT' 41 4 (unknown)
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'pHYs' 57 9
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'IDAT' 78 351
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'IHDR' 16 13
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'sBIT' 41 4
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:725] b'sBIT' 41 4 (unknown)
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'pHYs' 57 9
25-05-2022:18:04:21 DEBUG    [PngImagePlugin.py:213] STREAM b'IDAT' 78 364
25-05-2022:18:04:21 DEBUG    [font_manager.py:1329] findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0.
25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
